0.0000 1.0000 183.7303049277 147.7628050179
1.0000 2.0000 147.7628050179 140.1746988298
2.0000 3.0000 140.1746988298 133.7495140319
3.0000 4.0000 133.7495140319 127.8044088684
4.0000 5.0000 127.8044088684 122.3025032629
5.0000 6.0000 122.3025032629 117.0571177171
6.0000 7.0000 117.0571177171 112.1249918893
7.0000 8.0000 112.1249918893 107.4511102301
8.0000 9.0000 107.4511102301 103.0107990124
9.0000 10.0000 103.0107990124 98.7530682198
10.0000 11.0000 98.7530682198 94.6842288053
11.0000 12.0000 94.6842288053 90.8121154770
12.0000 13.0000 90.8121154770 87.1170395673
13.0000 14.0000 87.1170395673 83.5895930205
14.0000 15.0000 83.5895930205 80.1819198051
15.0000 16.0000 80.1819198051 76.8816026666
16.0000 17.0000 76.8816026666 73.7238571799
17.0000 18.0000 73.7238571799 70.6667969666
18.0000 19.0000 70.6667969666 67.7503444032
19.0000 20.0000 67.7503444032 64.9303093095
20.0000 21.0000 64.9303093095 62.1949505983
21.0000 22.0000 62.1949505983 59.5923219577
22.0000 23.0000 59.5923219577 57.0842888584
23.0000 24.0000 57.0842888584 54.6562795476
24.0000 25.0000 54.6562795476 52.3061802112
25.0000 26.0000 52.3061802112 50.0149206985
26.0000 27.0000 50.0149206985 47.8547327470
27.0000 28.0000 47.8547327470 45.7422467476
28.0000 29.0000 45.7422467476 43.7118071873
29.0000 30.0000 43.7118071873 41.7523985824
30.0000 31.0000 41.7523985824 39.8535612264
31.0000 32.0000 39.8535612264 38.0075999982
32.0000 33.0000 38.0075999982 36.2392247894
33.0000 34.0000 36.2392247894 34.5306574663
34.0000 35.0000 34.5306574663 32.8726244181
35.0000 36.0000 32.8726244181 31.2847967481
36.0000 37.0000 31.2847967481 29.7666476454
37.0000 38.0000 29.7666476454 28.2907976787
38.0000 39.0000 28.2907976787 26.8716329634
39.0000 40.0000 26.8716329634 25.5104155742
40.0000 41.0000 25.5104155742 24.1901388087
41.0000 42.0000 24.1901388087 22.9445539901
42.0000 43.0000 22.9445539901 21.7238209698
43.0000 44.0000 21.7238209698 20.5588372812
44.0000 45.0000 20.5588372812 19.4326901893
45.0000 46.0000 19.4326901893 18.3687746794
46.0000 47.0000 18.3687746794 17.3389449959
47.0000 48.0000 17.3389449959 16.3536639008
48.0000 49.0000 16.3536639008 15.4197227926
49.0000 50.0000 15.4197227926 14.5237038765
50.0000 51.0000 14.5237038765 13.6563086945
51.0000 52.0000 13.6563086945 12.8281096094
52.0000 53.0000 12.8281096094 12.0380422925
53.0000 54.0000 12.0380422925 11.2807214030
54.0000 55.0000 11.2807214030 10.5720079677
55.0000 56.0000 10.5720079677 9.8915774399
56.0000 57.0000 9.8915774399 9.2541008725
57.0000 58.0000 9.2541008725 8.6339862400
58.0000 59.0000 8.6339862400 8.0506040821
59.0000 60.0000 8.0506040821 7.4921980557
60.0000 61.0000 7.4921980557 6.9666177877
61.0000 62.0000 6.9666177877 6.4696311632
62.0000 63.0000 6.4696311632 6.0010387299
63.0000 64.0000 6.0010387299 5.5604964685
64.0000 65.0000 5.5604964685 5.1481013081
65.0000 66.0000 5.1481013081 4.7568456224
66.0000 67.0000 4.7568456224 4.3912063309
67.0000 68.0000 4.3912063309 4.0491766950
68.0000 69.0000 4.0491766950 3.7298317307
69.0000 70.0000 3.7298317307 3.4286431112
70.0000 71.0000 3.4286431112 3.1486982334
71.0000 72.0000 3.1486982334 2.8852039155
72.0000 73.0000 2.8852039155 2.6428296454
73.0000 74.0000 2.6428296454 2.4160601656
74.0000 75.0000 2.4160601656 2.2063120324
75.0000 76.0000 2.2063120324 2.0115764752
76.0000 77.0000 2.0115764752 1.8297448277
77.0000 78.0000 1.8297448277 1.6610561183
78.0000 79.0000 1.6610561183 1.5046737581
79.0000 80.0000 1.5046737581 1.3591545406
80.0000 81.0000 1.3591545406 1.2226195062
81.0000 82.0000 1.2226195062 1.0970376412
82.0000 83.0000 1.0970376412 0.9792545766
83.0000 84.0000 0.9792545766 0.8704796937
84.0000 85.0000 0.8704796937 0.7700041347
85.0000 86.0000 0.7700041347 0.6755788956
86.0000 87.0000 0.6755788956 0.5888236115
87.0000 88.0000 0.5888236115 0.5084446529
88.0000 89.0000 0.5084446529 0.4352870296
89.0000 90.0000 0.4352870296 0.3683800132
90.0000 91.0000 0.3683800132 0.3074549772
91.0000 92.0000 0.3074549772 0.2537111157
92.0000 93.0000 0.2537111157 0.2055645024
93.0000 94.0000 0.2055645024 0.1635787037
94.0000 95.0000 0.1635787037 0.1265117804
95.0000 96.0000 0.1265117804 0.0957318255
96.0000 97.0000 0.0957318255 0.0689415311
97.0000 98.0000 0.0689415311 0.0459141574
98.0000 99.0000 0.0459141574 0.0257427289
99.0000 100.000 0.0257427289 0.0000000000
